Year,Quarter,Category,Name,RegisteredUsers
2023,1,pincodes,122001,566889
2023,1,pincodes,110092,557488
2023,1,pincodes,110086,500213
2023,1,pincodes,121004,490243
2023,1,pincodes,201009,472156
2023,2,states,maharashtra,60766850
2023,2,states,uttar pradesh,49829833
2023,2,states,karnataka,39122314
2023,2,states,andhra pradesh,30240061
2023,2,states,rajasthan,29745609
2023,2,states,west bengal,27827662
2023,2,states,telangana,27814633
2023,2,states,tamil nadu,27317599
2023,2,states,madhya pradesh,25042930
2023,2,states,gujarat,24396768
2023,2,districts,bengaluru urban,15812243
2023,2,districts,pune,10396344
2023,2,districts,thane,6552282
2023,2,districts,jaipur,6490210
2023,2,districts,mumbai suburban,6322778
2023,2,districts,hyderabad,5349842
2023,2,districts,ahmadabad,4913610
2023,2,districts,rangareddy,4638501
2023,2,districts,north twenty four parganas,4079270
2023,2,districts,surat,4076929
2023,2,pincodes,201301,883262
2023,2,pincodes,110059,744061
2023,2,pincodes,560068,680831
2023,2,pincodes,421302,662196
2023,2,pincodes,500072,589156
2023,2,pincodes,122001,587988
2023,2,pincodes,110092,577301
2023,2,pincodes,110086,520976
2023,2,pincodes,121004,509776
2023,2,pincodes,201009,490549
2023,4,states,maharashtra,65422120
2023,4,states,uttar pradesh,53799813
2023,4,states,karnataka,42031396
2023,4,states,andhra pradesh,32658698
2023,4,states,rajasthan,32157348
2023,4,states,west bengal,30064546
2023,4,states,telangana,29902636
2023,4,states,tamil nadu,29452801
2023,4,states,madhya pradesh,27078072
2023,4,states,gujarat,26312655
2023,4,districts,bengaluru urban,16895567
2023,4,districts,pune,11135186
2023,4,districts,thane,7044610
2023,4,districts,jaipur,6983265
2023,4,districts,mumbai suburban,6796218
2023,4,districts,hyderabad,5720710
2023,4,districts,ahmadabad,5282400
2023,4,districts,rangareddy,4964411
2023,4,districts,north twenty four parganas,4396190
2023,4,districts,surat,4396038
2023,4,pincodes,201301,948041
2023,4,pincodes,110059,798856
2023,4,pincodes,560068,727330
2023,4,pincodes,421302,714635
2023,4,pincodes,122001,630836
2023,4,pincodes,500072,628306
2023,4,pincodes,110092,617934
2023,4,pincodes,110086,561319
2023,4,pincodes,121004,549020
2023,4,pincodes,201009,527630
2022,3,states,maharashtra,53432602
2022,3,states,uttar pradesh,43537920
2022,3,states,karnataka,34493994
2022,3,states,andhra pradesh,26496330
2022,3,states,rajasthan,26042948
2022,3,states,telangana,24506111
2022,3,states,west bengal,24372048
2022,3,states,tamil nadu,24019964
2022,3,states,madhya pradesh,21884220
2022,3,states,gujarat,21394721
2022,3,districts,bengaluru urban,13997602
2022,3,districts,pune,9194074
2022,3,districts,thane,5757165
2022,3,districts,jaipur,5696726
2022,3,districts,mumbai suburban,5555095
2022,3,districts,hyderabad,4739891
2022,3,districts,ahmadabad,4319512
2022,3,districts,rangareddy,4105107
2022,3,districts,north twenty four parganas,3578500
2022,3,districts,surat,3567767
2022,3,pincodes,201301,774591
2022,3,pincodes,110059,652328
2022,3,pincodes,560068,601656
2022,3,pincodes,421302,577754
2022,3,pincodes,500072,523196
2022,3,pincodes,122001,516313
2022,3,pincodes,110092,509260
2022,3,pincodes,110086,453393
2022,3,pincodes,121004,445822
2022,3,pincodes,201009,428994
2022,1,states,maharashtra,48227630
2022,1,states,uttar pradesh,38999692
2022,1,states,karnataka,31200349
2022,1,states,andhra pradesh,23857951
2022,1,states,rajasthan,23398857
2022,1,states,telangana,22150612
2022,1,states,west bengal,21919787
2022,1,states,tamil nadu,21667020
2022,1,states,madhya pradesh,19656147
2022,1,states,gujarat,19265314
2022,1,districts,bengaluru urban,12707664
2022,1,districts,pune,8331582
2022,1,districts,thane,5196050
2022,1,districts,jaipur,5133527
2022,1,districts,mumbai suburban,5017556
2022,1,districts,hyderabad,4306136
2022,1,districts,ahmadabad,3897869
2022,1,districts,rangareddy,3722676
2022,1,districts,north twenty four parganas,3224459
2022,1,districts,surat,3210535
2022,1,pincodes,201301,698600
2022,1,pincodes,110059,588266
2022,1,pincodes,560068,545827
2022,1,pincodes,421302,518716
2022,1,pincodes,500072,476073
2022,1,pincodes,122001,465984
2022,1,pincodes,110092,460951
2022,1,pincodes,110086,406863
2022,1,pincodes,121004,400283
2022,1,pincodes,560078,388154
2022,2,states,maharashtra,50802786
2022,2,states,uttar pradesh,41247289
2022,2,states,karnataka,32831447
2022,2,states,andhra pradesh,25157264
2022,2,states,rajasthan,24716181
